rank,name,rating_value,quote,genres,douban,bilibili
1,肖申克的救赎,9.7,希望让人自由。,剧情;犯罪,https://movie.douban.com/subject/1292052/,https://www.bilibili.com/bangumi/play/ss28274?bsource=douban
2,霸王别姬,9.6,风华绝代。,剧情;爱情;同性,https://movie.douban.com/subject/1291546/,https://www.bilibili.com/bangumi/play/ep317650
3,阿甘正传,9.5,一部美国近现代史。,剧情;爱情,https://movie.douban.com/subject/1292720/,https://www.bilibili.com/bangumi/play/ss25568?bsource=douban
9,盗梦空间,9.3,诺兰给了我们一场无法盗取的梦。,剧情;科幻;悬疑;冒险,https://movie.douban.com/subject/3541415/,https://www.bilibili.com/bangumi/play/ss28586?bsource=douban
11,星际穿越,9.3,爱是一种力量，让我们超越时空感知它的存在。,剧情;科幻;冒险,https://movie.douban.com/subject/1889243/,https://www.bilibili.com/bangumi/play/ss28585?bsource=douban
13,楚门的世界,9.3,如果再也不能见到你，祝你早安，午安，晚安。,剧情;科幻,https://movie.douban.com/subject/1292064/,https://www.bilibili.com/bangumi/play/ss25812?bsource=douban
14,三傻大闹宝莱坞,9.2,英俊版憨豆，高情商版谢耳朵。,剧情;喜剧;爱情;歌舞,https://movie.douban.com/subject/3793023/,https://www.bilibili.com/bangumi/play/ss29610?bsource=douban
16,放牛班的春天,9.3,天籁一般的童声，是最接近上帝的存在。,剧情;音乐,https://movie.douban.com/subject/1291549/,https://www.bilibili.com/bangumi/play/ss10937?bsource=douban
19,无间道,9.2,香港电影史上永不过时的杰作。,剧情;悬疑;犯罪,https://movie.douban.com/subject/1307914/,https://www.bilibili.com/bangumi/play/ss32395?bsource=douban
21,教父,9.3,千万不要记恨你的对手，这样会让你失去理智。,剧情;犯罪,https://movie.douban.com/subject/1291841/,https://www.bilibili.com/bangumi/play/ss26416?bsource=douban
24,怦然心动,9.1,真正的幸福是来自内心深处。,剧情;喜剧;爱情,https://movie.douban.com/subject/3319755/,https://www.bilibili.com/bangumi/play/ss28980?bsource=douban
25,控方证人,9.6,比利·怀德满分作品。,剧情;悬疑;犯罪,https://movie.douban.com/subject/1296141/,https://www.bilibili.com/bangumi/play/ss34318?bsource=douban
27,蝙蝠侠：黑暗骑士,9.2,无尽的黑暗。,剧情;动作;科幻;惊悚;犯罪,https://movie.douban.com/subject/1851857/,https://www.bilibili.com/bangumi/play/ss28280?bsource=douban
28,末代皇帝,9.3,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,剧情;传记;历史,https://movie.douban.com/subject/1293172/,https://www.bilibili.com/bangumi/play/ep334037
31,何以为家,9.1,凝视卑弱生命，用电影改变命运。,剧情,https://movie.douban.com/subject/30170448/,https://www.bilibili.com/bangumi/play/ss33471?bsource=douban
32,乱世佳人,9.3,Tomorrow is another day.,剧情;爱情;历史;战争,https://movie.douban.com/subject/1300267/,https://www.bilibili.com/bangumi/play/ss31886?bsource=douban
33,指环王3：王者无敌,9.2,史诗的终章。,剧情;动作;奇幻;冒险,https://movie.douban.com/subject/1291552/,https://www.bilibili.com/bangumi/play/ss33035?bsource=douban
34,摔跤吧！爸爸,9,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,剧情;家庭;传记;运动,https://movie.douban.com/subject/26387939/,https://www.bilibili.com/bangumi/play/ss12243?bsource=douban
35,哈利·波特与魔法石,9.1,童话世界的开端。,奇幻;冒险,https://movie.douban.com/subject/1295038/,https://www.bilibili.com/bangumi/play/ss28281?bsource=douban
39,十二怒汉,9.4,1957年的理想主义。,剧情,https://movie.douban.com/subject/1293182/,https://www.bilibili.com/bangumi/play/ss34055?bsource=douban
44,我不是药神,9,对我们国家而言，这样的电影多一部是一部。,剧情;喜剧,https://movie.douban.com/subject/26752088/,https://www.bilibili.com/bangumi/play/ss33434?bsource=douban
46,罗马假日,9,爱情哪怕只有一天。,剧情;喜剧;爱情,https://movie.douban.com/subject/1293839/,https://www.bilibili.com/bangumi/play/ss27504?bsource=douban
49,猫鼠游戏,9,骗子大师和执著警探的你追我跑故事。,剧情;传记;犯罪,https://movie.douban.com/subject/1305487/,https://www.bilibili.com/bangumi/play/ss25844?bsource=douban
50,大闹天宫,9.4,经典之作，历久弥新。,动画;奇幻,https://movie.douban.com/subject/1418019/,https://www.bilibili.com/bangumi/play/ss33220?bsource=douban
52,教父2,9.2,优雅的孤独。,剧情;犯罪,https://movie.douban.com/subject/1299131/,https://www.bilibili.com/bangumi/play/ss26427?bsource=douban
54,指环王2：双塔奇兵,9.1,承前启后的史诗篇章。,剧情;动作;奇幻;冒险,https://movie.douban.com/subject/1291572/,https://www.bilibili.com/bangumi/play/ss33034?bsource=douban
56,钢琴家,9.2,音乐能化解仇恨。,剧情;音乐;传记;战争,https://movie.douban.com/subject/1296736/,https://www.bilibili.com/bangumi/play/ss26973?bsource=douban
57,黑客帝国,9,视觉革命。,动作;科幻,https://movie.douban.com/subject/1291843/,https://www.bilibili.com/bangumi/play/ss28888?bsource=douban
58,指环王1：魔戒再现,9,传说的开始。,剧情;动作;奇幻;冒险,https://movie.douban.com/subject/1291571/,https://www.bilibili.com/bangumi/play/ss33033?bsource=douban
60,窃听风暴,9.1,别样人生。,剧情;悬疑,https://movie.douban.com/subject/1900841/,https://www.bilibili.com/bangumi/play/ss10081?bsource=douban
61,美丽心灵,9,爱是一切逻辑和原由。,剧情;传记,https://movie.douban.com/subject/1306029/,https://www.bilibili.com/bangumi/play/ss26175?bsource=douban
62,绿皮书,8.9,去除成见，需要勇气。,剧情;喜剧;传记,https://movie.douban.com/subject/27060077/,https://www.bilibili.com/bangumi/play/ss33615?bsource=douban
65,本杰明·巴顿奇事,8.9,在时间之河里感受溺水之苦。,剧情;爱情;奇幻,https://movie.douban.com/subject/1485260/,https://www.bilibili.com/bangumi/play/ss32351?bsource=douban
66,海蒂和爷爷,9.2,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,剧情;家庭;冒险,https://movie.douban.com/subject/25958717/,https://www.bilibili.com/bangumi/play/ss26976?bsource=douban
70,拯救大兵瑞恩,9,美利坚精神输出大片No1.,剧情;战争,https://movie.douban.com/subject/1292849/,https://www.bilibili.com/bangumi/play/ss26727?bsource=douban
73,音乐之声,9.1,用音乐化解仇恨，让歌声串起美好。,剧情;爱情;歌舞;传记,https://movie.douban.com/subject/1294408/,https://www.bilibili.com/bangumi/play/ss28658?bsource=douban
77,致命魔术,8.9,孪生蝙蝠侠大战克隆金刚狼。,剧情;悬疑;惊悚,https://movie.douban.com/subject/1780330/,https://www.bilibili.com/bangumi/play/ss33130?bsource=douban
78,沉默的羔羊,8.9,安东尼·霍普金斯的顶级表演。,剧情;惊悚;犯罪,https://movie.douban.com/subject/1293544/,https://www.bilibili.com/bangumi/play/ss33897?bsource=douban
79,禁闭岛,8.8,昔日翩翩少年，今日大腹便便。,剧情;悬疑;惊悚,https://movie.douban.com/subject/2334904/,https://www.bilibili.com/bangumi/play/ss26728?bsource=douban
81,蝴蝶效应,8.8,人的命运被自己瞬间的抉择改变。,剧情;科幻;悬疑;惊悚,https://movie.douban.com/subject/1292343/,https://www.bilibili.com/bangumi/play/ss34368?bsource=douban
86,摩登时代,9.3,大时代中的人生，小人物的悲喜。,剧情;喜剧;爱情,https://movie.douban.com/subject/1294371/,https://www.bilibili.com/bangumi/play/ss26258?bsource=douban
87,哈利·波特与死亡圣器(下),8.9,10年的完美句点。,奇幻;冒险,https://movie.douban.com/subject/3011235/,https://www.bilibili.com/bangumi/play/ss28302?bsource=douban
98,天使爱美丽,8.7,法式小清新。,喜剧;爱情,https://movie.douban.com/subject/1292215/,https://www.bilibili.com/bangumi/play/ss11326?bsource=douban
110,爱在黎明破晓前,8.8,缘分是个连绵词，最美不过一瞬。,剧情;爱情,https://movie.douban.com/subject/1296339/,https://www.bilibili.com/bangumi/play/ss32312?bsource=douban
111,超脱,8.9,穷尽一生，我们要学会的，不过是彼此拥抱。,剧情,https://movie.douban.com/subject/5322596/,https://www.bilibili.com/bangumi/play/ss12579?bsource=douban
114,菊次郎的夏天,8.8,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,剧情;喜剧,https://movie.douban.com/subject/1293359/,https://www.bilibili.com/bangumi/play/ss11978?bsource=douban
115,蝙蝠侠：黑暗骑士崛起,8.8,诺兰就是保证。,剧情;动作;科幻;惊悚;犯罪,https://movie.douban.com/subject/3395373/,https://www.bilibili.com/bangumi/play/ss28318?bsource=douban
117,功夫,8.6,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,喜剧;动作;犯罪;奇幻,https://movie.douban.com/subject/1291543/,https://www.bilibili.com/bangumi/play/ss32523?bsource=douban
119,无人知晓,9.1,我的平常生活就是他人的幸福。,剧情,https://movie.douban.com/subject/1292337/,https://www.bilibili.com/bangumi/play/ss11986?bsource=douban
122,萤火之森,8.9,触不到的恋人。,剧情;爱情;动画;奇幻,https://movie.douban.com/subject/5989818/,https://www.bilibili.com/bangumi/play/ep269127?bsource=douban
125,玛丽和马克思,8.9,你是我最好的朋友，你是我唯一的朋友 。,剧情;喜剧;动画,https://movie.douban.com/subject/3072124/,https://www.bilibili.com/bangumi/play/ss33841?bsource=douban
126,爱在日落黄昏时,8.8,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,剧情;爱情,https://movie.douban.com/subject/1291990/,https://www.bilibili.com/bangumi/play/ss34256?bsource=douban
128,完美的世界,9.1,坏人的好总是比好人的好来得更感人。,剧情;犯罪,https://movie.douban.com/subject/1300992/,https://www.bilibili.com/bangumi/play/ss32424?bsource=douban
129,幸福终点站,8.8,有时候幸福需要等一等。,剧情;喜剧;爱情,https://movie.douban.com/subject/1292274/,https://www.bilibili.com/bangumi/play/ss26784?bsource=douban
131,大鱼,8.8,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,剧情;家庭;奇幻;冒险,https://movie.douban.com/subject/1291545/,https://www.bilibili.com/bangumi/play/ss33372?bsource=douban
133,哈利·波特与阿兹卡班的囚徒,8.8,不一样的导演，不一样的哈利·波特。,奇幻;冒险,https://movie.douban.com/subject/1291544/,https://www.bilibili.com/bangumi/play/ss28297?bsource=douban
141,哈利·波特与密室,8.7,魔法的密室之门已打开...,奇幻;冒险,https://movie.douban.com/subject/1296996/,https://www.bilibili.com/bangumi/play/ss28296?bsource=douban
143,教父3,8.9,任何信念的力量，都无法改变命运。,剧情;犯罪,https://movie.douban.com/subject/1294240/,https://www.bilibili.com/bangumi/play/ss26428?bsource=douban
146,哪吒闹海,9.1,想你时你在闹海。,动画;奇幻;冒险,https://movie.douban.com/subject/1307315/,https://www.bilibili.com/bangumi/play/ep63452?bsource=douban
148,七武士,9.3,时代悲歌。,剧情;动作;冒险,https://movie.douban.com/subject/1295399/,https://www.bilibili.com/bangumi/play/ss28594?bsource=douban
154,我是山姆,8.9,爱并不需要智商 。,剧情;家庭,https://movie.douban.com/subject/1306861/,https://www.bilibili.com/bangumi/play/ss34861?bsource=douban
155,英雄本色,8.7,英雄泪短，兄弟情长。,剧情;动作;犯罪,https://movie.douban.com/subject/1297574/,https://www.bilibili.com/bangumi/play/ss11452?bsource=douban
165,达拉斯买家俱乐部,8.8,Jared Leto的腿比女人还美！,剧情;同性;传记,https://movie.douban.com/subject/1793929/,https://www.bilibili.com/bangumi/play/ss32420?bsource=douban
167,黑客帝国3：矩阵革命,8.8,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,动作;科幻,https://movie.douban.com/subject/1302467/,https://www.bilibili.com/bangumi/play/ss28967?bsource=douban
172,你的名字。,8.4,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,剧情;爱情;动画,https://movie.douban.com/subject/26683290/,https://www.bilibili.com/bangumi/play/ss12044?bsource=douban
173,荒蛮故事,8.8,始于荒诞，止于更荒诞。,剧情;喜剧;犯罪,https://movie.douban.com/subject/24750126/,https://www.bilibili.com/bangumi/play/ss34565?bsource=douban
175,真爱至上,8.6,爱，是个动词。,剧情;喜剧;爱情,https://movie.douban.com/subject/1292401/,https://www.bilibili.com/bangumi/play/ss26233?bsource=douban
176,爆裂鼓手,8.7,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,剧情;音乐,https://movie.douban.com/subject/25773932/,https://www.bilibili.com/bangumi/play/ss33917?bsource=douban
177,贫民窟的百万富翁,8.6,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,剧情;爱情,https://movie.douban.com/subject/2209573/,https://www.bilibili.com/bangumi/play/ss33057?bsource=douban
180,海街日记,8.8,是枝裕和的家庭习作。,剧情;家庭,https://movie.douban.com/subject/25895901/,https://www.bilibili.com/bangumi/play/ss28985?bsource=douban
182,惊魂记,9,故事的反转与反转，分裂电影的始祖。,悬疑;惊悚;恐怖,https://movie.douban.com/subject/1293181/,https://www.bilibili.com/bangumi/play/ss28923?bsource=douban
186,小偷家族,8.7,我们组成了家。,剧情;家庭;犯罪,https://movie.douban.com/subject/27622447/,https://www.bilibili.com/bangumi/play/ss26639?bsource=douban
187,雨人,8.7,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,剧情,https://movie.douban.com/subject/1291870/,https://www.bilibili.com/bangumi/play/ss34042?bsource=douban
190,爱在午夜降临前,8.8,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,剧情;爱情,https://movie.douban.com/subject/10808442/,https://www.bilibili.com/bangumi/play/ss33785?bsource=douban
192,哈利·波特与火焰杯,8.6,,悬疑;奇幻;冒险,https://movie.douban.com/subject/1309055/,https://www.bilibili.com/bangumi/play/ss28298?bsource=douban
196,雨中曲,9,骨灰级歌舞片。,喜剧;爱情;歌舞,https://movie.douban.com/subject/1293460/,https://www.bilibili.com/bangumi/play/ss33933?bsource=douban
198,二十二,8.7,有一些东西不应该被遗忘。,纪录片,https://movie.douban.com/subject/26430107/,https://www.bilibili.com/bangumi/play/ss12523?bsource=douban
202,人工智能,8.7,对爱的执着，可以超越一切。,剧情;科幻,https://movie.douban.com/subject/1302827/,https://www.bilibili.com/bangumi/play/ss32964?bsource=douban
204,2001太空漫游,8.8,现代科幻电影的开山之作，最伟大导演的最伟大影片。,科幻;惊悚;冒险,https://movie.douban.com/subject/1292226/,https://www.bilibili.com/bangumi/play/ss29040?bsource=douban
205,可可西里,8.8,坚硬的信仰。,剧情;犯罪,https://movie.douban.com/subject/1308857/,https://www.bilibili.com/bangumi/play/ss33336?bsource=douban
206,罗生门,8.8,人生的N种可能性。,剧情;悬疑;犯罪,https://movie.douban.com/subject/1291879/,https://www.bilibili.com/bangumi/play/ss28491?bsource=douban
208,城市之光,9.3,永远的小人物，伟大的卓别林。,剧情;喜剧;爱情,https://movie.douban.com/subject/1293908/,https://www.bilibili.com/bangumi/play/ss28171?bsource=douban
210,初恋这件小事,8.4,黑小鸭速效美白记。,剧情;喜剧;爱情,https://movie.douban.com/subject/4739952/,https://www.bilibili.com/bangumi/play/ss25122?bsource=douban
211,魂断蓝桥,8.8,中国式内在的美国电影。,剧情;爱情;战争,https://movie.douban.com/subject/1293964/,https://www.bilibili.com/bangumi/play/ss32837?bsource=douban
213,遗愿清单,8.7,用剩余不多的时间，去燃烧整个生命。,剧情;喜剧;冒险,https://movie.douban.com/subject/1867345/,https://www.bilibili.com/bangumi/play/ss32422?bsource=douban
220,燃情岁月,8.8,传奇，不是每个人都可以拥有。,剧情;爱情;战争;西部,https://movie.douban.com/subject/1295865/,https://www.bilibili.com/bangumi/play/ss34105?bsource=douban
222,疯狂的麦克斯4：狂暴之路,8.6,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,动作;科幻;冒险,https://movie.douban.com/subject/3592854/,https://www.bilibili.com/bangumi/play/ss34440?bsource=douban
223,血钻,8.7,每个美丽事物背后都是滴血的现实。,剧情;惊悚;冒险,https://movie.douban.com/subject/1428175/,https://www.bilibili.com/bangumi/play/ss32355?bsource=douban
224,穿越时空的少女,8.6,爱上未来的你。,剧情;爱情;科幻;动画,https://movie.douban.com/subject/1937946/,https://www.bilibili.com/bangumi/play/ep65786?bsource=douban
225,步履不停,8.8,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,剧情;家庭,https://movie.douban.com/subject/2222996/,https://www.bilibili.com/bangumi/play/ss11383?bsource=douban
227,阿飞正传,8.5,王家卫是一种风格，张国荣是一个代表。,剧情;爱情;犯罪,https://movie.douban.com/subject/1305690/,https://www.bilibili.com/bangumi/play/ss33103?bsource=douban
234,东京教父,9,,剧情;喜剧;动画,https://movie.douban.com/subject/1310177/,https://www.bilibili.com/bangumi/play/ep63746?bsource=douban
235,东京物语,9.2,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,剧情;家庭,https://movie.douban.com/subject/1291568/,https://www.bilibili.com/bangumi/play/ss28513?bsource=douban
